ccn,location,latitude,longitude,block,offensekey,offensegroup,method,offense,sector,start_date,end_date,shift,year,neighborhood_cluster,psa,census_tract,ward,bid,district,ucr-rank,voting_precinct
25001431,"38.9619795615,-77.0279498335",38.96197956,-77.02794983,5900 - 5999 block of georgia avenue nw,violent|assault w/dangerous weapon,violent,gun,assault w/dangerous weapon,4D1,03-01-2025,03-01-2025,evening,2025,cluster 17,402,1804,4,Unknown,4,3,precinct 60
25002460,"38.8960181546,-77.0473467599",38.89601815,-77.04734676,2100 - 2199 block of e street nw,property|theft/other,property,others,theft/other,2D3,05-01-2025,05-01-2025,evening,2025,cluster 5,207,10800,2,Unknown,2,6,precinct 2
25013024,"38.9145432398,-77.0189288864",38.91454324,-77.01892889,1800 - 1838 block of 5th street nw,violent|robbery,violent,gun,robbery,3D2,27-01-2025,28-01-2025,midnight,2025,cluster 3,306,4801,2,Unknown,3,4,precinct 21
25020338,"38.9005209103,-76.9434529605",38.90052091,-76.94345296,4100 - 4199 block of hunt place ne,property|theft f/auto,property,others,theft f/auto,6D1,11-02-2025,11-02-2025,day,2025,cluster 30,602,7803,7,Unknown,6,7,precinct 99
25021921,"38.9428664985,-76.9914325169",38.9428665,-76.99143252,1000 - 1199 block of varnum street ne,property|theft f/auto,property,others,theft f/auto,4D2,13-02-2025,13-02-2025,day,2025,cluster 20,405,9504,5,Unknown,4,7,precinct 67
25025455,"38.9308014266,-77.0373827045",38.93080143,-77.0373827,1600 - 1665 block of lamont street nw,property|theft f/auto,property,others,theft f/auto,3D1,21-02-2025,21-02-2025,day,2025,cluster 2,302,2702,1,Unknown,3,7,precinct 39
25026431,"38.8517469483,-76.9692371871",38.85174695,-76.96923719,2600 - 2799 block of jasper street se,violent|assault w/dangerous weapon,violent,gun,assault w/dangerous weapon,7D1,23-02-2025,23-02-2025,day,2025,cluster 36,702,7408,8,Unknown,7,3,precinct 115
25023625,"38.9025239882,-77.0288536671",38.90252399,-77.02885367,1200 - 1299 block of k street nw,property|theft/other,property,others,theft/other,2D3,16-02-2025,16-02-2025,evening,2025,cluster 8,209,10100,2,downtown,2,6,precinct 129
25023841,"38.9222166046,-76.9931402028",38.9222166,-76.9931402,900 - 999 block of rhode island avenue ne,property|theft f/auto,property,others,theft f/auto,5D2,17-02-2025,17-02-2025,day,2025,cluster 22,505,9102,5,Unknown,5,7,precinct 72
25024422,"38.9705987139,-77.0161517663",38.97059871,-77.01615177,6600 - 6699 block of 3rd street nw,property|theft f/auto,property,others,theft f/auto,4D1,19-02-2025,19-02-2025,day,2025,cluster 17,401,1702,4,Unknown,4,7,precinct 63
25001707,"38.9448686362,-77.0639158491",38.94486864,-77.06391585,4227 - 4399 block of connecticut avenue nw,property|theft/other,property,others,theft/other,2D1,04-01-2025,04-01-2025,day,2025,cluster 12,203,1303,3,Unknown,2,6,precinct 34
25420639,"38.9148319255,-77.0499191564",38.91483193,-77.04991916,2200 - 2299 block of bancroft place nw,property|theft/other,property,others,theft/other,2D3,04-02-2025,11-02-2025,midnight,2025,cluster 1,208,4100,2,Unknown,2,6,precinct 13
